"id_accidente","tipo_vehiculo_limpio"
1,"SIN_DATOS"
2,"AUTOMOVIL"
3,"AUTOMOVIL"
4,"CAMIONETA_PASAJEROS"
5,"MOTOCICLETA"
6,"CAMION_CARGA"
6,"AUTOMOVIL"
7,"AUTOMOVIL"
8,"CAMIONETA CARGA"
8,"MOTOCICLETA"
9,"MOTOCICLETA"
10,"CAMION_CARGA"
10,"AUTOMOVIL"
11,"SIN_DATOS"
12,"AUTOMOVIL"
12,"CAMIONETA_PASAJEROS"
13,"AUTOMOVIL"
13,"CAMIONETA_PASAJEROS"
14,"AUTOMOVIL"
15,"AUTOMOVIL"
16,"AUTOMOVIL"
16,"SIN_DATOS"
17,"CAMIONETA CARGA"
18,"AUTOMOVIL"
18,"CAMIONETA_PASAJEROS"
19,"AUTOMOVIL"
20,"CAMION_CARGA"
20,"CAMIONETA_CARGA"
21,"CAMIONETA CARGA"
22,"TRACTOR"
22,"CAMIONETA CARGA"
23,"CAMION_PASAJEROS"
24,"CAMIONETA_PASAJEROS"
24,"CAMIONETA_CARGA"
25,"AUTOMOVIL"
25,"CAMIONETA_PASAJEROS"
26,"CAMIONETA_PASAJEROS"
27,"CAMIONETA_PASAJEROS"
28,"CAMIONETA_PASAJEROS"
29,"AUTOMOVIL"
30,"SIN_DATOS"
31,"CAMIONETA_PASAJEROS"
31,"MOTOCICLETA"
32,"AUTOMOVIL"
32,"CAMIONETA_PASAJEROS"
33,"AUTOMOVIL"
34,"CAMIONETA_PASAJEROS"
35,"CAMIONETA_PASAJEROS"
35,"AUTOMOVIL"
36,"AUTOMOVIL"
36,"CAMIONETA_PASAJEROS"
37,"CAMIONETA_CARGA"
37,"MOTOCICLETA"
38,"MOTOCICLETA"
38,"AUTOMOVIL"
39,"CAMIONETA_PASAJEROS"
39,"CAMIONETA CARGA"
40,"AUTOMOVIL"
40,"CAMIONETA CARGA"
41,"CAMION_CARGA"
42,"CAMIONETA CARGA"
43,"AUTOMOVIL"
44,"AUTOMOVIL"
45,"CAMIONETA_CARGA"
45,"AUTOMOVIL"
46,"SIN_DATOS"
47,"CAMIONETA_PASAJEROS"
47,"AUTOMOVIL"
48,"CAMIONETA CARGA"
48,"AUTOMOVIL"
49,"AUTOMOVIL"
50,"CAMIONETA_CARGA"
50,"CAMIONETA_PASAJEROS"
51,"MOTOCICLETA"
52,"CAMIONETA CARGA"
52,"AUTOMOVIL"
53,"CAMIONETA CARGA"
54,"CAMIONETA_PASAJEROS"
55,"TRACTOR"
55,"AUTOMOVIL"
56,"SIN_DATOS"
57,"AUTOMOVIL"
58,"AUTOMOVIL"
58,"CAMIONETA_PASAJEROS"
59,"CAMIONETA CARGA"
60,"OTRO"
61,"AUTOMOVIL"
61,"CAMIONETA_CARGA"
62,"CAMIONETA_PASAJEROS"
62,"AUTOMOVIL"
63,"CAMIONETA CARGA"
63,"AUTOMOVIL"
64,"AUTOMOVIL"
64,"OTRO"
65,"AUTOMOVIL"
66,"AUTOMOVIL"
66,"MOTOCICLETA"
67,"SIN_DATOS"
67,"AUTOMOVIL"
68,"AUTOMOVIL"
69,"OTRO"
69,"CAMIONETA_CARGA"
70,"AUTOMOVIL"
70,"CAMIONETA_PASAJEROS"
71,"OTRO"
71,"AUTOMOVIL"
72,"AUTOMOVIL"
72,"SIN_DATOS"
73,"TRACTOR"
74,"MOTOCICLETA"
75,"AUTOMOVIL"
75,"CAMIONETA_CARGA"
76,"TRACTOR"
76,"AUTOMOVIL"
77,"AUTOMOVIL"
77,"CAMIONETA_PASAJEROS"
78,"CAMIONETA_PASAJEROS"
78,"AUTOMOVIL"
79,"CAMIONETA CARGA"
80,"CAMION_CARGA"
80,"AUTOMOVIL"
81,"TRACTOR"
81,"AUTOMOVIL"
82,"OTRO"
82,"AUTOMOVIL"
83,"CAMIONETA_PASAJEROS"
83,"AUTOMOVIL"
84,"CAMIONETA_PASAJEROS"
84,"AUTOMOVIL"
84,"MOTOCICLETA"
85,"OTRO"
86,"AUTOMOVIL"
87,"CAMIONETA_PASAJEROS"
88,"CAMIONETA_PASAJEROS"
89,"AUTOMOVIL"
89,"CAMIONETA_PASAJEROS"
90,"CAMION_CARGA"
90,"AUTOMOVIL"
91,"CAMIONETA_PASAJEROS"
91,"CAMIONETA_CARGA"
92,"AUTOMOVIL"
93,"CAMIONETA_CARGA"
93,"CAMIONETA_PASAJEROS"
94,"CAMIONETA_PASAJEROS"
94,"AUTOMOVIL"
95,"SIN_DATOS"
95,"AUTOMOVIL"
95,"CAMIONETA_PASAJEROS"
96,"CAMION_CARGA"
96,"AUTOMOVIL"
97,"AUTOMOVIL"
98,"AUTOMOVIL"
98,"CAMIONETA CARGA"
99,"TRACTOR"
99,"CAMIONETA_PASAJEROS"
100,"AUTOMOVIL"
100,"CAMIONETA_PASAJEROS"
101,"SIN_DATOS"
101,"MOTOCICLETA"
102,"SIN_DATOS"
102,"AUTOMOVIL"
103,"AUTOMOVIL"
104,"AUTOMOVIL"
105,"AUTOMOVIL"
106,"AUTOMOVIL"
107,"AUTOMOVIL"
108,"AUTOMOVIL"
109,"AUTOMOVIL"
109,"OTRO"
110,"CAMION_CARGA"
110,"AUTOMOVIL"
111,"AUTOMOVIL"
111,"MOTOCICLETA"
112,"MOTOCICLETA"
112,"AUTOMOVIL"
113,"CAMION_PASAJEROS"
113,"CAMION_CARGA"
114,"AUTOMOVIL"
115,"CAMIONETA CARGA"
116,"OTRO"
116,"MOTOCICLETA"
117,"AUTOMOVIL"
117,"OTRO"
118,"CAMIONETA_CARGA"
118,"AUTOMOVIL"
118,"CAMIONETA_PASAJEROS"
119,"OTRO"
120,"CAMIONETA_CARGA"
121,"MOTOCICLETA"
122,"AUTOMOVIL"
122,"CAMIONETA_PASAJEROS"
123,"CAMIONETA_CARGA"
123,"AUTOMOVIL"
123,"CAMION_CARGA"
124,"CAMIONETA CARGA"
125,"AUTOMOVIL"
125,"CAMIONETA_PASAJEROS"
126,"AUTOMOVIL"
126,"OTRO"
127,"TRACTOR"
127,"OTRO"
128,"CAMIONETA_CARGA"
128,"AUTOMOVIL"
129,"AUTOMOVIL"
129,"CAMION_CARGA"
130,"AUTOMOVIL"
131,"AUTOMOVIL"
132,"CAMIONETA_PASAJEROS"
132,"MOTOCICLETA"
133,"AUTOMOVIL"
134,"OTRO"
134,"CAMIONETA_PASAJEROS"
135,"CAMIONETA CARGA"
136,"CAMIONETA_CARGA"
137,"AUTOMOVIL"
138,"AUTOMOVIL"
139,"AUTOMOVIL"
139,"CAMIONETA_PASAJEROS"
140,"AUTOMOVIL"
141,"AUTOMOVIL"
142,"AUTOMOVIL"
143,"CAMIONETA_PASAJEROS"
143,"OTRO"
144,"AUTOMOVIL"
145,"AUTOMOVIL"
145,"CAMIONETA_CARGA"
146,"MOTOCICLETA"
146,"CAMIONETA_CARGA"
147,"SIN_DATOS"
